budget,original_language,popularity,runtime,status,vote_average,vote_count,release_year,profit_level,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,total_directed
200000000.0,en,49.98659,106.0,Released,5.8,2033,2011,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
200000000.0,en,51.872839,114.0,Released,5.1,2487,2011,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8.0
200000000.0,en,59.995418,103.0,Released,7.6,4597,2010,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
200000000.0,en,71.862892,115.0,Released,5.9,2463,2009,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6.0
190000000.0,en,102.322217,137.0,Released,7.3,4176,2015,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
200000000.0,en,81.834855,116.0,Released,6.7,5560,2013,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,8.0
250000000.0,en,118.078691,131.0,Released,7.5,6032,2014,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8.0
190000000.0,en,78.291018,132.0,Released,7.4,4418,2013,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
195000000.0,en,43.349855,114.0,Released,5.5,2598,2013,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8.0
105000000.0,en,61.196071,143.0,Released,7.3,3769,2013,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0
150000000.0,en,62.169881,116.0,Released,6.2,2317,2010,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,7.0
180000000.0,en,56.523205,131.0,Released,6.7,4794,2013,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0
195000000.0,en,28.529607,154.0,Released,6.1,3299,2011,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.0
185000000.0,en,75.674458,122.0,Released,5.7,2495,2008,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
175000000.0,en,51.692953,93.0,Released,6.6,1736,2015,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
185000000.0,en,125.114374,93.0,Released,6.7,4641,2012,3,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.3333333333333333
185000000.0,en,65.352913,122.0,Released,6.6,2568,2016,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0
180000000.0,en,66.390712,98.0,Released,7.8,6296,2008,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
140000000.0,en,22.57178,91.0,Released,6.1,783,2007,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.0
200000000.0,en,45.274225,158.0,Released,5.6,4903,2009,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.0
200000000.0,en,39.744242,96.0,Released,6.6,1095,2009,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0
176000003.0,en,85.36908,124.0,Released,5.2,2768,2015,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.0
180000000.0,en,42.741719,109.0,Released,5.5,2430,2016,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
180000000.0,en,67.391328,143.0,Released,6.7,2629,2005,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5.0
178000000.0,en,139.272042,144.0,Released,6.4,4721,2016,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.0
185000000.0,en,187.322927,152.0,Released,8.2,12002,2008,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8.0
175000000.0,en,92.201962,96.0,Released,7.7,6870,2009,3,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
175000000.0,en,36.167578,94.0,Released,6.0,1423,2009,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0
140000000.0,en,120.725053,126.0,Released,7.4,8776,2008,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0
170000000.0,en,32.319043,126.0,Released,7.0,2141,2011,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,21.0
170000000.0,en,40.748915,106.0,Released,5.1,1020,1999,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.0
145000000.0,en,60.034162,112.0,Released,5.2,1387,2008,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0
175000000.0,en,90.23792,123.0,Released,5.9,7458,2016,3,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.0
175000000.0,en,27.082182,96.0,Released,5.3,1151,2007,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.0
178000000.0,en,79.456485,113.0,Released,7.6,4858,2014,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.0
175000000.0,en,44.640292,135.0,Released,5.9,992,1995,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
175000000.0,en,32.852443,118.0,Released,5.6,1962,2009,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.0
175000000.0,en,128.655964,94.0,Released,8.0,6560,2015,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
175000000.0,en,94.199316,106.0,Released,6.7,2892,2016,3,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6.0
200000000.0,en,77.300194,124.0,Released,6.6,6849,2010,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.0
170000000.0,en,77.178973,127.0,Released,5.8,3118,2012,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
180000000.0,en,110.620647,97.0,Released,7.0,4496,2014,3,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1.0
170000000.0,en,243.791743,130.0,Released,7.3,4410,2014,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,4.0
27000000.0,en,2.418535,109.0,Released,4.8,34,2015,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3.0
175000000.0,en,41.796339,119.0,Released,5.9,1326,2013,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
170000000.0,en,72.225265,136.0,Released,7.6,5764,2014,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
